MarkerName	Allele1	Allele2	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
cg06267718			-0.0328	0.0678	0.6281	--	0.0	0.051	1	0.8208
cg07269201			0.0100	0.0380	0.7925	-+	0.0	0.594	1	0.4408
cg09657969			-0.0445	0.0429	0.2995	-+	60.8	2.553	1	0.1101
cg22788243			-0.0459	0.0819	0.5751	--	0.0	0.001	1	0.9808
cg24895036			-0.0348	0.0427	0.4158	-+	61.6	2.603	1	0.1067
cg03888033			-0.0050	0.0495	0.9196	+-	0.0	0.818	1	0.3658
cg05029100			0.0036	0.0346	0.9174	-+	48.0	1.924	1	0.1654
cg13496324			-0.0218	0.0440	0.6206	-+	0.0	0.307	1	0.5792
cg09874600			0.0078	0.0428	0.855	+-	47.0	1.889	1	0.1694
cg04338778			-0.0159	0.0730	0.8272	+-	0.0	0.041	1	0.8394
cg04799451			0.0356	0.0734	0.6275	++	0.0	0.019	1	0.8903
cg27326648			0.0605	0.0367	0.0994	++	0.0	0.815	1	0.3667
cg08588953			0.0090	0.0637	0.8881	-+	0.0	0.080	1	0.7774
cg24012128			-0.0404	0.0316	0.2018	-+	22.0	1.283	1	0.2574
cg13226637			0.0192	0.0507	0.7047	-+	0.0	0.377	1	0.5391
cg00978556			-0.0146	0.0574	0.7995	-+	0.0	0.664	1	0.4151
cg11385162			-0.0197	0.0575	0.7322	-+	83.9	6.200	1	0.01277
cg19748686			-0.0065	0.0353	0.8533	-+	0.0	0.139	1	0.7093
cg26864714			0.0363	0.0517	0.4832	+-	47.7	1.913	1	0.1667
cg06435511			0.0278	0.0291	0.3391	++	0.0	0.122	1	0.7271
cg24876752			0.0857	0.0837	0.3061	++	0.0	0.115	1	0.7349
cg09656629			-0.0962	0.1598	0.547	--	0.0	0.125	1	0.7236
cg03714633			-0.0256	0.0643	0.6908	-+	0.0	0.198	1	0.6564
cg02931464			0.0001	0.0294	0.996	+-	48.9	1.956	1	0.1619
cg10551526			0.0311	0.0513	0.5444	+-	0.0	0.948	1	0.3303
cg23692386			-0.0449	0.0412	0.2751	-+	0.0	0.624	1	0.4295
cg13600477			0.0302	0.0420	0.472	-+	39.0	1.639	1	0.2005
cg08521396			-0.0097	0.0673	0.8857	--	0.0	0.033	1	0.8552
cg01456491			-0.1152	0.0519	0.02662	--	69.1	3.233	1	0.07216
cg24738082			0.0082	0.0559	0.8834	+-	17.6	1.214	1	0.2706
cg08886075			0.0531	0.0601	0.3768	++	0.0	0.191	1	0.6619
cg24061544			0.0210	0.0397	0.5962	++	0.0	0.300	1	0.5841
cg19380893			-0.1007	0.0820	0.2196	--	0.0	0.004	1	0.9483
cg25229131			-0.0391	0.0600	0.5141	--	0.0	0.454	1	0.5005
cg06731957			0.1114	0.0525	0.03403	++	0.0	0.037	1	0.8468
cg10797702			0.0479	0.0338	0.1558	++	0.0	0.331	1	0.5652
cg02111944			0.0788	0.0649	0.2247	+-	72.6	3.654	1	0.05594
cg02238247			0.0528	0.0774	0.4952	++	0.0	0.195	1	0.6588
cg03298341			-0.1138	0.0496	0.02183	--	36.0	1.562	1	0.2113
cg04592122			-0.0136	0.0323	0.674	+-	0.0	0.750	1	0.3864
cg02981828			0.0700	0.0705	0.321	-+	89.6	9.593	1	0.001954
cg18847227			-0.1364	0.0760	0.07245	--	0.0	0.367	1	0.5444
cg26180653			0.0779	0.0381	0.0409	++	0.0	0.373	1	0.5414
cg20660182			-0.0631	0.0729	0.3864	+-	76.4	4.229	1	0.03974
cg19774740			-0.0356	0.0437	0.416	--	0.0	0.221	1	0.6382
cg09161330			0.0105	0.0640	0.8702	-+	22.1	1.284	1	0.2571
cg19068483			-0.0210	0.0514	0.6821	+-	50.0	2.001	1	0.1571
cg08698050			-0.0147	0.0370	0.6904	+-	80.7	5.181	1	0.02283
cg03292675			-0.1821	0.0845	0.03124	--	0.0	0.018	1	0.8926
cg27584318			0.0031	0.0437	0.9437	+-	0.0	0.479	1	0.489
cg23008112			-0.0166	0.0500	0.7398	--	0.0	0.015	1	0.9017
cg07404363			-0.0484	0.0447	0.2793	+-	0.0	0.977	1	0.323
cg13017573			0.1034	0.0781	0.1854	++	9.3	1.102	1	0.2938
cg01541356			0.0026	0.0458	0.9542	+-	0.0	0.139	1	0.7097
cg09317774			-0.0533	0.0397	0.1791	--	0.0	0.736	1	0.3909
cg14453788			0.0397	0.0290	0.171	++	0.0	0.141	1	0.7075
cg10923074			-0.0392	0.0349	0.262	--	31.0	1.449	1	0.2286
cg19830670			0.0178	0.0454	0.6953	-+	48.7	1.951	1	0.1625
cg10846012			0.0592	0.0421	0.1601	++	0.0	0.638	1	0.4245
cg23333220			0.0258	0.0457	0.5732	+-	11.0	1.124	1	0.2891
cg27131958			0.0120	0.0602	0.8418	++	0.0	0.033	1	0.8556
cg22746566			0.0423	0.0504	0.402	++	0.0	0.008	1	0.9285
cg17844035			-0.0471	0.0394	0.2318	--	0.0	0.053	1	0.8183
cg24460956			0.0790	0.0789	0.3169	++	0.0	0.007	1	0.9345
cg19434066			-0.0658	0.0491	0.1803	--	0.0	0.031	1	0.8608
cg25799433			0.0124	0.0761	0.8709	+-	51.9	2.077	1	0.1495
cg08425745			0.0108	0.0279	0.6997	-+	0.0	0.893	1	0.3448
cg22444124			-0.1102	0.0756	0.1451	-+	54.9	2.219	1	0.1363
cg01769749			0.0539	0.0957	0.5731	++	0.0	0.002	1	0.9672
cg07249406			-0.0212	0.0631	0.7375	-+	0.0	0.175	1	0.6756
cg03646922			-0.0283	0.0417	0.4974	+-	39.7	1.660	1	0.1976
cg27086497			-0.1094	0.0395	0.005646	--	0.0	0.001	1	0.9701
cg05376962			-0.0747	0.0397	0.05987	--	46.6	1.872	1	0.1713
cg25175863			0.0404	0.0350	0.2484	++	0.0	0.101	1	0.7512
cg18863135			0.0104	0.0353	0.7685	+-	82.9	5.858	1	0.01551
cg08139238			0.0261	0.0376	0.488	++	0.0	0.034	1	0.8527
cg12741922			-0.0750	0.0381	0.04925	--	0.0	0.223	1	0.6368
cg21917656			0.0936	0.0462	0.04261	+-	92.5	13.358	1	0.0002574
cg08200077			-0.0114	0.0466	0.8066	--	0.0	0.009	1	0.9233
cg26106807			0.0099	0.0294	0.7369	-+	55.3	2.237	1	0.1348
cg17478810			0.0123	0.0310	0.692	-+	54.7	2.207	1	0.1374
cg15901993			0.0720	0.0493	0.1438	++	0.0	0.085	1	0.7711
cg07256869			0.0634	0.0453	0.1624	++	0.0	0.236	1	0.6273
cg04916377			-0.0296	0.0492	0.5476	--	0.0	0.000	1	0.9898
cg19559641			-0.0388	0.0739	0.5994	--	0.0	0.183	1	0.6689
cg09883947			0.0004	0.0760	0.9956	+-	0.0	0.023	1	0.8794
cg08704466			0.0293	0.1190	0.8055	++	0.0	0.001	1	0.9717
cg26167053			0.0399	0.0446	0.3705	+-	0.0	0.820	1	0.3652
cg12536112			0.0321	0.0582	0.5812	+-	79.8	4.942	1	0.02621
cg24718465			0.1081	0.0792	0.1724	++	64.2	2.791	1	0.09477
cg15197218			0.0558	0.0654	0.3933	++	0.0	0.107	1	0.7431
cg02907408			0.0615	0.0530	0.2455	++	0.0	0.578	1	0.4472
cg03208983			0.0266	0.0743	0.7206	+-	0.0	0.465	1	0.4952
cg00454864			0.0270	0.0348	0.4383	++	0.0	0.125	1	0.7235
cg13446753			-0.0678	0.0709	0.3389	-+	0.0	0.311	1	0.5768
cg17833299			0.0656	0.0920	0.4756	-+	13.2	1.151	1	0.2833
cg18941031			-0.0938	0.0865	0.2784	--	0.0	0.022	1	0.8826
cg02253576			0.0513	0.0431	0.2341	++	0.0	0.173	1	0.6774
cg21545602			0.0223	0.0520	0.6674	-+	0.7	1.007	1	0.3156
cg23483530			-0.1535	0.1190	0.1974	-+	79.3	4.830	1	0.02798
cg10374402			0.0012	0.0393	0.9758	+-	0.0	0.007	1	0.9338
cg13922962			-0.0212	0.0912	0.8164	+-	0.0	0.382	1	0.5368
cg26889586			0.0592	0.0584	0.3108	++	0.0	0.014	1	0.9042
cg26546864			-0.0030	0.0837	0.9714	+-	0.0	0.008	1	0.9273
cg06978539			0.1106	0.0562	0.04923	++	0.0	0.030	1	0.8628
cg09522532			-0.1714	0.1106	0.1213	--	0.0	0.932	1	0.3343
cg01695962			0.0005	0.0365	0.9898	+-	41.5	1.709	1	0.1912
cg26463171			0.0162	0.0397	0.6826	+-	0.0	0.761	1	0.3832
cg21855329			0.0411	0.0453	0.3639	++	0.0	0.094	1	0.7593
cg15729771			-0.0210	0.0398	0.5971	--	0.0	0.405	1	0.5245
cg21569714			0.0468	0.0423	0.2677	++	0.0	0.013	1	0.9104
cg14789121			-0.0318	0.0621	0.6088	-+	0.0	0.244	1	0.6212
cg16744186			0.0408	0.0337	0.2257	++	0.0	0.999	1	0.3177
cg19286989			-0.0133	0.0534	0.8028	+-	40.4	1.677	1	0.1953
cg20297140			0.0137	0.0335	0.683	+-	0.0	0.180	1	0.6714
cg24349400			0.0059	0.0442	0.8945	-+	69.9	3.327	1	0.06815
cg23680451			-0.1035	0.0782	0.1859	--	0.0	0.083	1	0.7737
cg08860346			0.0159	0.0889	0.8578	++	0.0	0.012	1	0.9115
cg18408836			-0.0691	0.0489	0.1574	--	0.0	0.885	1	0.3467
cg02303847			0.0214	0.0471	0.65	+-	0.0	0.665	1	0.4147
cg05843457			0.2223	0.1244	0.07392	+-	72.4	3.623	1	0.05698
cg16282993			0.0196	0.0397	0.6214	+-	0.0	0.401	1	0.5267
cg06157981			0.0784	0.0606	0.1959	++	14.3	1.166	1	0.2801
cg02207998			-0.0213	0.0809	0.7926	+-	0.0	0.596	1	0.44
cg12074633			0.0327	0.0439	0.4564	-+	82.0	5.567	1	0.01831
cg09216143			-0.0407	0.0695	0.5582	--	0.0	0.160	1	0.6896
cg19220272			0.0229	0.0368	0.5336	++	0.0	0.140	1	0.7081
cg07237974			0.0278	0.0491	0.5714	++	0.0	0.006	1	0.9396
cg26564042			-0.0437	0.0712	0.539	--	0.0	0.018	1	0.8927
cg10918580			-0.0675	0.0606	0.2652	--	0.0	0.148	1	0.7004
cg14206014			0.0260	0.0402	0.5179	+-	0.0	0.649	1	0.4203
cg06802630			-0.1654	0.1303	0.2045	--	0.0	0.044	1	0.834
cg14945917			0.0784	0.0683	0.2508	+-	0.0	0.958	1	0.3277
cg02289189			0.0153	0.0392	0.6966	++	0.0	0.005	1	0.9425
cg02463555			0.0430	0.0470	0.3598	+-	18.7	1.229	1	0.2675
cg08911391			0.0204	0.0499	0.6824	+-	0.0	0.405	1	0.5247
cg23823879			0.2383	0.1205	0.04805	++	0.0	0.052	1	0.8188
cg07311080			-0.0113	0.0515	0.8258	+-	29.4	1.417	1	0.234
cg21780506			-0.0459	0.0915	0.6162	-+	0.0	0.474	1	0.4912
cg27272573			-0.0234	0.0479	0.6244	-+	0.0	0.408	1	0.5231
cg03445006			0.0409	0.0586	0.4859	-+	0.0	0.921	1	0.3371
cg26036856			0.0904	0.0726	0.2131	++	0.0	0.000	1	0.9947
cg17460275			0.0174	0.0382	0.6486	++	0.0	0.147	1	0.7013
cg00893834			-0.0820	0.0415	0.04823	--	47.9	1.921	1	0.1657
cg24505802			0.0614	0.0242	0.01108	++	28.5	1.398	1	0.2371
cg21144270			0.0105	0.0424	0.8053	-+	35.6	1.553	1	0.2127
cg13858685			-0.0047	0.0456	0.9173	--	0.0	0.001	1	0.9812
cg10025462			-0.0514	0.0445	0.2475	+-	87.8	8.182	1	0.00423
cg03552359			-0.0195	0.0728	0.7891	-+	0.0	0.836	1	0.3604
cg05657651			0.0089	0.0449	0.8424	+-	20.5	1.258	1	0.2621
cg10724261			0.0401	0.0380	0.2915	++	0.0	0.009	1	0.925
cg01577083			0.0478	0.0790	0.5456	+-	0.0	0.629	1	0.4277
cg21136358			0.0070	0.0395	0.8591	-+	0.0	0.789	1	0.3745
cg24076854			-0.0334	0.0364	0.3583	--	36.2	1.568	1	0.2106
cg10418044			-0.0497	0.0926	0.5913	--	0.0	0.000	1	0.9856
cg09155994			0.0247	0.0549	0.6528	+-	70.4	3.376	1	0.06615
cg13961273			0.0294	0.0450	0.5134	-+	23.1	1.300	1	0.2542
cg00065726			0.0975	0.0464	0.0358	++	0.0	0.712	1	0.3988
cg19995539			0.0512	0.0832	0.5379	+-	0.0	0.660	1	0.4164
cg09626633			-0.0097	0.0538	0.8573	+-	1.7	1.017	1	0.3131
cg01142475			-0.1306	0.0982	0.1835	--	0.0	0.509	1	0.4757
cg12522729			0.0116	0.0341	0.7335	++	0.0	0.000	1	0.9837
cg16997120			-0.0155	0.0404	0.7014	+-	70.9	3.441	1	0.06361
cg19812938			0.1032	0.0462	0.02557	++	39.2	1.645	1	0.1996
cg17759086			-0.0403	0.0461	0.3823	-+	0.0	0.416	1	0.5188
cg07080246			-0.0790	0.0624	0.2056	-+	0.0	0.927	1	0.3356
cg13776304			0.0522	0.0370	0.1583	++	0.0	0.620	1	0.4309
cg14466883			0.0214	0.0474	0.652	+-	4.3	1.045	1	0.3068
cg03116317			-0.0376	0.0618	0.5431	+-	63.1	2.712	1	0.09961
cg00308819			0.0222	0.0452	0.6226	-+	0.0	0.623	1	0.4298
cg19577779			0.0100	0.0716	0.8888	++	0.0	0.006	1	0.9395
cg27451484			0.0461	0.0698	0.5096	++	0.0	0.063	1	0.8018
cg04177885			0.0358	0.0311	0.2496	+-	74.8	3.970	1	0.04632
cg01428687			-0.0133	0.0588	0.8214	+-	0.0	0.652	1	0.4194
cg06773116			-0.1230	0.0991	0.2148	--	20.1	1.251	1	0.2633
cg24053393			0.0351	0.0503	0.4861	++	0.0	0.516	1	0.4724
cg14935626			0.0669	0.0876	0.4453	+-	46.5	1.869	1	0.1716
cg02482603			-0.0905	0.0747	0.2259	-+	6.7	1.072	1	0.3005
cg04872869			0.0310	0.0501	0.5356	++	0.0	0.099	1	0.7524
cg02502233			0.0498	0.0750	0.5063	+-	21.7	1.278	1	0.2583
cg02355680			-0.0258	0.0408	0.5277	+-	0.0	0.663	1	0.4155
cg17242362			-0.2177	0.0859	0.01123	--	0.0	0.344	1	0.5576
cg09823125			0.0020	0.0371	0.9578	-+	0.0	0.325	1	0.5686
cg02684989			-0.0379	0.0603	0.5296	-+	41.3	1.705	1	0.1916
cg10201923			-0.0412	0.0532	0.439	--	0.0	0.104	1	0.747
cg11825159			0.0248	0.0466	0.5948	+-	0.0	0.574	1	0.4486
cg03922337			0.0015	0.0388	0.969	-+	0.0	0.527	1	0.4677
cg08596249			-0.0400	0.0893	0.6538	--	0.0	0.088	1	0.7673
cg14105997			-0.0119	0.0509	0.8151	-+	0.0	0.459	1	0.498
cg23444373			0.0414	0.0548	0.4497	++	0.0	0.782	1	0.3764
cg12636668			0.0369	0.0430	0.3914	++	0.0	0.004	1	0.9475
cg01389445			-0.0058	0.0292	0.842	-+	59.5	2.468	1	0.1162
cg00761160			-0.0174	0.0834	0.8351	-+	0.0	0.463	1	0.4961
cg14575255			0.0146	0.0396	0.713	+-	17.5	1.212	1	0.2708
cg15083775			-0.0849	0.0460	0.06519	--	0.0	0.300	1	0.5836
cg24249583			-0.0334	0.0357	0.3493	+-	56.5	2.301	1	0.1293
cg13453015			-0.0297	0.0739	0.6878	-+	55.5	2.246	1	0.134
cg16763625			0.1141	0.0580	0.04922	++	59.3	2.458	1	0.1169
cg04029736			-0.0055	0.0599	0.9274	+-	0.0	0.075	1	0.7835
cg14070162			-0.0458	0.0265	0.08345	-+	41.7	1.716	1	0.1903
cg14074704			-0.0664	0.0819	0.4177	-+	0.0	0.954	1	0.3286
cg19773296			0.0244	0.0384	0.5257	-+	0.0	0.540	1	0.4624
cg21254399			-0.0066	0.0536	0.9013	+-	64.6	2.826	1	0.09273
cg05425114			-0.0434	0.0638	0.4956	--	0.0	0.082	1	0.7749
cg06383207			0.0070	0.0453	0.8779	++	0.0	0.017	1	0.897
cg13109397			0.0177	0.0424	0.6764	+-	43.5	1.771	1	0.1832
cg26796443			-0.0253	0.0481	0.5981	--	0.0	0.064	1	0.8009
cg03037561			0.0763	0.0826	0.3557	-+	40.0	1.668	1	0.1965
cg17989259			-0.1143	0.0757	0.1311	--	0.0	0.022	1	0.8824
cg27342294			-0.0313	0.0393	0.4257	-+	65.4	2.888	1	0.08924
cg08612784			0.0805	0.0562	0.1519	++	0.0	0.015	1	0.9014
cg01944655			-0.0118	0.0532	0.8252	--	0.0	0.011	1	0.9164
cg07787703			-0.0287	0.0244	0.239	--	0.0	0.247	1	0.6195
cg09873062			-0.0257	0.0339	0.4484	-+	28.4	1.397	1	0.2372
cg12748555			0.0194	0.0504	0.7008	-+	59.0	2.438	1	0.1184
cg15663190			-0.0127	0.0401	0.7513	+-	23.4	1.305	1	0.2534
cg14226747			0.0804	0.0819	0.3259	++	0.0	0.332	1	0.5642
cg01868112			-0.0736	0.0395	0.06248	--	14.7	1.172	1	0.279
cg09900361			0.0312	0.0394	0.4274	-+	24.8	1.330	1	0.2488
cg05933219			-0.0262	0.0665	0.6935	+-	1.0	1.010	1	0.3148
cg09303171			-0.0103	0.0761	0.8919	+-	0.0	0.425	1	0.5143
cg10557584			-0.0305	0.0552	0.581	--	0.0	0.222	1	0.6377
cg09147144			0.0140	0.0656	0.8313	-+	0.0	0.236	1	0.6269
cg16381368			-0.1076	0.0694	0.1208	--	0.0	0.112	1	0.7376
cg14223017			-0.0089	0.0400	0.8246	--	0.0	0.128	1	0.721
cg25247402			-0.0732	0.0449	0.1029	--	0.0	0.441	1	0.5066
cg16427967			-0.0522	0.0428	0.2226	--	0.0	0.043	1	0.8365
cg25840237			0.0475	0.0638	0.4562	++	0.0	0.208	1	0.6485
cg03226737			-0.0667	0.1431	0.6412	--	0.0	0.008	1	0.9284
cg16487601			-0.0845	0.0917	0.3572	--	0.0	0.038	1	0.8446
cg17432256			0.0595	0.0944	0.5283	++	0.0	0.192	1	0.6615
cg13110839			0.0323	0.0289	0.2638	++	20.2	1.252	1	0.2631
cg04121501			0.0213	0.0226	0.3458	++	0.0	0.282	1	0.5954
cg22345069			0.0666	0.0426	0.1177	++	0.0	0.036	1	0.8495
cg21728483			-0.0248	0.0586	0.672	+-	56.6	2.303	1	0.1291
cg08567517			0.0959	0.0394	0.01487	+-	62.1	2.638	1	0.1043
cg11590282			0.0384	0.0457	0.401	-+	86.4	7.374	1	0.006619
cg08016802			0.0654	0.2628	0.8035	++	0.0	0.006	1	0.9384
cg17052926			0.0873	0.0511	0.08781	++	0.0	0.049	1	0.8252
cg02172885			-0.0547	0.1031	0.5959	+-	0.0	0.831	1	0.3619
cg20693580			-0.0685	0.0476	0.1502	--	0.0	0.012	1	0.9142
cg06536039			-0.0392	0.0389	0.3129	--	0.0	0.015	1	0.9035
cg26949694			-0.0953	0.0472	0.04333	--	0.0	0.220	1	0.6387
cg05938274			0.0599	0.0882	0.4971	++	0.0	0.342	1	0.5585
cg12281205			-0.0518	0.0348	0.136	--	16.2	1.193	1	0.2748
cg25431220			-0.0120	0.0328	0.7142	+-	0.0	0.299	1	0.5845
cg15097000			0.0289	0.0651	0.6574	-+	0.0	0.944	1	0.3312
cg14444103			0.0188	0.0465	0.6857	-+	53.8	2.164	1	0.1413
cg23259813			-0.0038	0.0457	0.9345	-+	0.0	0.751	1	0.3862
cg06430870			0.0404	0.0873	0.6431	++	0.0	0.049	1	0.8252
cg20107733			0.0779	0.0549	0.1562	++	0.0	0.549	1	0.4589
cg11952239			-0.0639	0.0835	0.444	--	0.0	0.135	1	0.7129
cg04304930			0.0256	0.0454	0.5721	-+	21.9	1.281	1	0.2577
cg24731702			0.1250	0.0899	0.1641	++	21.1	1.267	1	0.2603
cg13083251			0.0716	0.0828	0.3872	++	0.0	0.908	1	0.3405
cg10854984			0.0191	0.0311	0.5397	+-	44.4	1.799	1	0.1798
cg01551791			-0.0001	0.0531	0.998	-+	42.3	1.734	1	0.188
cg11754911			-0.0291	0.0531	0.5832	--	0.0	0.080	1	0.7777
cg16615348			-0.0944	0.0413	0.02236	--	0.0	0.038	1	0.8447
cg01022582			0.0414	0.0504	0.4116	-+	0.0	0.958	1	0.3278
cg08808798			-0.0110	0.0561	0.845	+-	0.0	0.281	1	0.5963
cg04988794			0.0224	0.0340	0.5104	++	0.0	0.001	1	0.9812
cg24224304			-0.0927	0.0450	0.03958	--	0.0	0.691	1	0.4058
cg04442388			0.1840	0.0678	0.006641	++	0.0	0.053	1	0.8186
cg25747427			0.1444	0.0657	0.02809	++	0.0	0.087	1	0.7675
cg12516812			-0.0073	0.0490	0.8819	-+	0.0	0.384	1	0.5356
cg01255414			-0.0620	0.0768	0.4189	--	0.0	0.008	1	0.9275
cg05624387			0.1043	0.0603	0.08347	++	0.0	0.348	1	0.5554
cg21520985			-0.0055	0.1009	0.9567	-+	0.0	0.289	1	0.591
cg26484001			-0.0434	0.0663	0.5126	--	0.0	0.013	1	0.9077
cg05096809			-0.0090	0.0419	0.8307	+-	0.0	0.166	1	0.6839
cg02782889			-0.0092	0.0520	0.8598	--	0.0	0.048	1	0.8273
cg23955774			-0.0596	0.0394	0.13	--	0.0	0.000	1	0.9889
cg21410853			-0.0742	0.0749	0.3216	--	0.0	0.406	1	0.5238
cg09652501			0.0217	0.0677	0.749	+-	0.0	0.139	1	0.7088
cg06948763			0.0165	0.0491	0.7369	++	0.0	0.001	1	0.9728
cg17011650			0.0637	0.0352	0.07058	++	0.0	0.024	1	0.876
cg15087469			0.0633	0.0318	0.04631	-+	82.4	5.685	1	0.01711
cg11058696			-0.0569	0.0441	0.1968	--	15.6	1.185	1	0.2764
cg17490189			0.0928	0.0430	0.03097	++	0.0	0.762	1	0.3828
cg12365951			0.0002	0.0308	0.9941	+-	0.0	0.005	1	0.945
cg21377489			-0.0262	0.0678	0.6993	-+	0.0	0.537	1	0.4636
cg19431696			0.0800	0.0880	0.3629	++	0.0	0.195	1	0.6591
cg20440638			0.0315	0.0220	0.1529	+-	57.5	2.351	1	0.1252
cg09366982			-0.0464	0.0862	0.5901	--	0.0	0.227	1	0.634
cg26024868			-0.0535	0.0315	0.08928	--	0.0	0.183	1	0.669
cg01307861			0.0815	0.0821	0.321	+-	34.8	1.534	1	0.2156
cg21613033			-0.0807	0.0438	0.06539	--	0.0	0.009	1	0.9261
cg02157216			0.0046	0.0982	0.9628	+-	0.0	0.051	1	0.8209
cg11064039			-0.1102	0.3534	0.7552	+-	0.0	0.414	1	0.5201
cg23444474			0.0047	0.0389	0.9046	+-	0.0	0.353	1	0.5527
cg10850054			-0.0044	0.0436	0.9188	+-	0.0	0.022	1	0.8833
cg09975039			-0.0477	0.0594	0.4217	--	0.0	0.518	1	0.4716
cg11765312			-0.0024	0.0631	0.9692	+-	0.0	0.653	1	0.4189
cg13554018			0.0145	0.0261	0.5786	++	0.0	0.272	1	0.6022
cg23338170			-0.0446	0.0454	0.3259	--	0.0	0.002	1	0.9638
cg03023687			0.0366	0.0641	0.5682	++	0.0	0.541	1	0.4618
cg12825324			-0.0353	0.0474	0.456	+-	21.7	1.277	1	0.2584
cg14858392			-0.0389	0.0690	0.5727	+-	0.0	0.658	1	0.4174
cg26053526			-0.0574	0.0548	0.2951	--	0.0	0.072	1	0.7878
cg04927889			0.0773	0.0645	0.2308	++	0.0	0.381	1	0.5373
cg09234415			0.0258	0.0807	0.7494	++	0.0	0.073	1	0.7869
cg22139563			0.0167	0.0423	0.6929	+-	0.0	0.244	1	0.6213
cg10824926			0.0339	0.0588	0.5646	++	0.0	0.084	1	0.772
cg09521871			-0.0784	0.0396	0.04746	--	0.0	0.111	1	0.7396
cg24670151			-0.0020	0.0758	0.9793	-+	0.0	0.325	1	0.5689
cg21260332			0.0732	0.0466	0.1161	++	68.1	3.131	1	0.07682
cg12894984			-0.0027	0.0439	0.951	-+	5.4	1.057	1	0.304
cg09911238			0.0220	0.0363	0.5438	-+	61.4	2.592	1	0.1074
cg05258276			0.0628	0.0957	0.5118	++	0.0	0.002	1	0.9652
cg15586439			0.0221	0.0505	0.6618	-+	22.8	1.296	1	0.255
cg08787503			-0.0275	0.0381	0.4698	-+	37.9	1.610	1	0.2045
cg03115562			0.0739	0.0796	0.3532	+-	55.3	2.237	1	0.1347
cg15867796			0.0406	0.0339	0.231	++	0.0	0.472	1	0.4921
cg23998726			0.0233	0.0847	0.7828	-+	0.0	0.531	1	0.4662
cg27044986			0.0082	0.0649	0.9	-+	0.0	0.662	1	0.4157
cg16462793			0.0426	0.0441	0.3343	++	0.0	0.008	1	0.9287
cg07290991			-0.0773	0.1114	0.4878	--	0.0	0.437	1	0.5084
cg05351257			-0.0130	0.0908	0.8858	-+	0.0	0.129	1	0.719
cg06378674			0.0067	0.0452	0.8823	-+	19.0	1.235	1	0.2664
cg23033691			0.0643	0.0584	0.2712	+-	3.2	1.033	1	0.3094
cg12613801			0.0396	0.0302	0.1904	++	0.0	0.122	1	0.7264
cg09001222			0.0358	0.0548	0.5134	-+	60.7	2.547	1	0.1105
cg05580655			-0.0224	0.0303	0.4602	--	0.0	0.122	1	0.7268
cg13049960			0.0081	0.0340	0.8118	+-	0.0	0.592	1	0.4417
cg23236554			-0.2391	0.1158	0.03885	--	0.0	0.261	1	0.6091
cg09952436			0.0009	0.0418	0.9832	-+	50.7	2.028	1	0.1544
cg01494551			0.0191	0.0456	0.6748	+-	0.0	0.542	1	0.4615
cg06344264			0.0586	0.0529	0.2683	++	37.2	1.592	1	0.207
cg25908635			0.0180	0.0421	0.6693	+-	36.3	1.569	1	0.2104
cg13895417			-0.0236	0.0357	0.5094	-+	0.0	0.400	1	0.5273
cg00966959			-0.3020	0.1340	0.02418	--	0.0	0.769	1	0.3805
cg16309721			0.0021	0.0260	0.9356	-+	0.0	0.294	1	0.5877
cg13174850			-0.1694	0.0493	0.0005948	--	0.0	0.276	1	0.5993
cg00953069			0.0411	0.0421	0.3289	++	0.0	0.331	1	0.565
cg17316890			-0.0025	0.0487	0.9597	-+	1.6	1.016	1	0.3134
cg21136242			-0.0481	0.0326	0.1404	--	0.0	0.039	1	0.8443
cg05967651			0.0311	0.0304	0.3056	++	0.0	0.363	1	0.5467
cg08894788			-0.2142	0.0698	0.002162	--	10.2	1.114	1	0.2912
cg27179169			-0.0640	0.0518	0.2164	--	0.0	0.251	1	0.6161
cg04407762			0.0490	0.0721	0.4967	++	0.0	0.244	1	0.6217
cg02185402			-0.0352	0.0336	0.2951	+-	0.0	0.844	1	0.3583
cg12179661			-0.0264	0.0415	0.5246	-+	66.3	2.965	1	0.0851
cg10365362			-0.0107	0.0908	0.9058	+-	0.0	0.051	1	0.8215
cg16073008			0.0290	0.0492	0.5559	++	0.0	0.176	1	0.6751
cg18683618			0.1367	0.0512	0.007524	++	0.0	0.037	1	0.8466
cg11200797			0.2928	0.1582	0.06424	++	0.0	0.002	1	0.9674
cg03494002			-0.2929	0.0852	0.0005836	--	0.0	0.171	1	0.6793
cg06021384			0.1204	0.0405	0.002976	++	0.0	0.499	1	0.4801
cg11360149			0.0345	0.0344	0.315	+-	62.9	2.696	1	0.1006
cg13550401			-0.3267	0.1136	0.004021	--	0.0	0.431	1	0.5117
cg20343727			0.0499	0.0361	0.1664	++	0.0	0.489	1	0.4844
cg01316378			0.0504	0.0818	0.5382	++	0.0	0.540	1	0.4626
cg11177550			0.0038	0.0410	0.926	-+	0.0	0.354	1	0.552
cg03554702			0.0357	0.0257	0.1636	++	0.0	0.196	1	0.6577
cg21472448			0.0389	0.0401	0.3325	++	0.0	0.646	1	0.4217
cg08196106			-0.0327	0.0784	0.6764	-+	0.0	0.373	1	0.5414
cg08285546			0.0381	0.0446	0.3929	++	0.0	0.217	1	0.6415
cg00520925			0.0806	0.0656	0.2193	-+	69.8	3.311	1	0.06881
